Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1407598,Credit card,,Closing/Cancelling account,,NC,27614,Web,06/05/2015,06/05/2015,GE Capital Retail,Closed with explanation,Yes,
1408736,Credit reporting,,Incorrect information on credit report,Account terms,CA,95368,Web,06/05/2015,06/08/2015,Equifax,Closed with explanation,Yes,Yes
1407589,Credit card,,Identity theft / Fraud / Embezzlement,,NJ,07734,Web,06/05/2015,06/05/2015,Citibank,Closed with explanation,Yes,
1407587,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,AZ,85253,Referral,06/05/2015,06/09/2015,JPMorgan Chase,In progress,Yes,
1408499,Prepaid card,Mobile wallet,Fraud or scam,,CO,80528,Web,06/05/2015,06/10/2015,Amex,Closed with explanation,Yes,
1406648,Mortgage,Other mortgage,Other,,CA,91739,Referral,06/04/2015,06/09/2015,JPMorgan Chase,Closed with explanation,Yes,
1407297,Credit card,,Balance transfer,,GA,30316,Web,06/04/2015,06/05/2015,Bank of America,In progress,Yes,
1406652,Mortgage,Other mortgage,Other,,CA,91739,Referral,06/04/2015,06/11/2015,JPMorgan Chase,Closed with explanation,Yes,
1405681,Mortgage,Conventional fixed mortgage,Settlement process and costs,,NC,27263,Web,06/04/2015,06/04/2015,BB&T Financial,Closed with explanation,Yes,
1406653,Mortgage,Other mortgage,Other,,CA,91739,Referral,06/04/2015,06/09/2015,JPMorgan Chase,Closed with explanation,Yes,
1405724,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,NY,11803,Web,06/04/2015,06/04/2015,"I.C. System, Inc.",Closed with explanation,Yes,Yes
1406134,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,CA,92123,Web,06/04/2015,06/04/2015,Encore Capital Group,Closed with explanation,Yes,
1406478,Mortgage,Other mortgage,Other,,NY,11355,Postal mail,06/04/2015,06/08/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1405684,Bank account or service,Checking account,Deposits and withdrawals,,VA,23503,Web,06/04/2015,06/04/2015,Bank of America,In progress,Yes,
1405708,Credit reporting,,Incorrect information on credit report,Public record,TX,78256,Web,06/04/2015,06/04/2015,Equifax,Closed with explanation,Yes,
1405709,Credit reporting,,Incorrect information on credit report,Account status,GA,30315,Web,06/04/2015,06/04/2015,Equifax,In progress,Yes,
1405715,Bank account or service,Checking account,"Account opening, closing, or management",,TX,76013,Web,06/04/2015,06/04/2015,Arvest Bank,Closed with explanation,Yes,
1405676,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,FL,32073,Web,06/04/2015,06/04/2015,Experian,In progress,Yes,
1405657,Credit reporting,,Incorrect information on credit report,Account terms,NY,14626,Web,06/04/2015,06/05/2015,Experian,In progress,Yes,
